season,week,player_id,receiver,targets,avg_air_yards,avg_cpoe,target_quality_score,td_rate,data_source
2018,1,00-0031257,P.Richardson,6,3.3333333,-9.997971,-0.46753684,0.0,pbp_proxy
2018,1,00-0031260,L.Thomas,2,19.5,-0.17135239,0.27838743,0.0,pbp_proxy
2018,1,00-0031273,C.Brate,2,6.0,-58.942284,-1.8785365,0.0,pbp_proxy
2018,1,00-0031285,D.Freeman,5,-1.0,-18.44362,-0.8200979,0.0,pbp_proxy
2018,1,00-0031301,J.Hill,1,1.0,17.83569,0.434316,0.0,pbp_proxy
2018,1,00-0031325,S.Watkins,5,5.4,-9.5075,-0.26858944,0.0,pbp_proxy
2018,1,00-0031326,B.Ellington,8,8.875,-10.376175,-0.31966826,0.125,pbp_proxy
2018,1,00-0031339,D.Moncrief,5,19.8,-23.683136,-0.91767764,0.0,pbp_proxy
2018,1,00-0031359,K.Benjamin,7,16.142857,-33.782143,-1.3539248,0.0,pbp_proxy
2018,1,00-0031381,D.Adams,8,12.25,4.0656347,0.41277552,0.125,pbp_proxy
2018,1,00-0031382,J.Landry,15,13.133333,-10.7416315,-0.31278944,0.0,pbp_proxy
2018,1,00-0031387,E.Ebron,5,10.0,22.567032,0.6995489,0.2,pbp_proxy
2018,1,00-0031408,M.Evans,7,14.571428,40.410374,1.622034,0.14285715,pbp_proxy
2018,1,00-0031418,A.Seferian-Jenkins,5,2.6,-18.667305,-0.59711397,0.0,pbp_proxy
2018,1,00-0031428,A.Robinson II,7,15.285714,5.3090158,0.30173653,0.0,pbp_proxy
2018,1,00-0031544,A.Cooper,3,6.6666665,-41.22615,-1.3247339,0.0,pbp_proxy
2018,1,00-0031549,N.Agholor,10,4.9,7.767371,0.10544992,0.0,pbp_proxy
2018,1,00-0031558,M.Williams,3,5.3333335,29.153887,1.0282553,0.0,pbp_proxy
2018,1,00-0031577,J.Allen,6,2.5,8.233011,0.078235455,0.0,pbp_proxy
2018,1,00-0031588,S.Diggs,6,12.833333,-12.348031,-0.25518802,0.16666667,pbp_proxy
2018,1,00-0031595,M.Burton,1,0.0,26.331001,0.68633586,0.0,pbp_proxy
