"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Tyler Higbee","LA","5","TE","22","16","1","200","0","2","0","1","72.7","9.55","9.09","12.5","6.31","5","3","2","22.7","18.8","100","2","2","9.1","12.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","0.17","3"
"Nick Vannett","DEN","5","TE","6","6","0","27","0","1","0","0","100","3.67","4.5","4.5","2.17","1","1","1","16.7","16.7","100","1","1","16.7","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14.7","0.11","2.45"
"Hunter Henry","LAC","3","TE","17","12","0","111","0","1","0","0","70.6","7.35","6.53","9.25","3.17","6","2","1","35.3","16.7","100","1","0","5.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.1","0.18","2.43"
"Chris Manhertz","CAR","4","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Eric Tomlinson","BLT","5","TE","1","0","0","0","0","0","0","0","0","38","0","0","0","1","0","0","100","0","0","1","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Geoff Swaim","TEN","4","TE","4","3","0","34","0","1","0","0","75","9","8.5","11.33","4.67","2","2","1","50","66.7","100","1","1","25","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4","0.09","4.13"
"James O'Shaughnessy","JAX","5","TE","13","10","0","89","0","0","0","0","76.9","5.54","6.85","8.9","3.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.9","0.13","1.89"
"Jesse James","DET","5","TE","6","3","0","22","0","1","0","0","50","5","3.67","7.33","5","2","2","1","33.3","66.7","100","1","1","16.7","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2","0.09","3.73"
"MyCole Pruitt","TEN","5","TE","4","2","0","32","0","2","0","1","50","12","8","16","4","3","2","2","75","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.2","0.12","8.6"
"Blake Bell","DAL","5","TE","4","4","0","30","0","0","0","0","100","2","7.5","7.5","5.5","1","1","0","25","25","0","0","0","0","0","0","1","0","2","0","0","0","2","0","0","0","0","1","0","100","0","1","0","100","0","0","0","7.2","0.07","1.44"
"Tyler Kroft","BUF","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Maxx Williams","ARZ","4","TE","3","3","1","59","0","0","0","0","100","3.33","19.67","19.67","16.33","1","1","0","33.3","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.9","0.07","2.97"
"Cameron Brate","TB","4","TE","9","8","0","101","0","0","0","0","88.9","10","11.22","12.63","2.63","2","1","0","22.2","12.5","0","1","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.1","0.16","2.26"
"Trey Burton","IND","5","TE","9","5","0","37","0","0","0","2","55.6","6.78","4.11","7.4","4.4","1","0","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.7","0.07","1.74"
"Logan Thomas","WAS","5","TE","49","38","0","342","1","2","0","2","77.6","7.24","6.98","9","4.79","8","5","2","16.3","13.2","100","5","2","10.2","5.3","100","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","87.2","0.25","2.24"
"Richard Rodgers","PHI","2","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Darren Fells","HST","5","TE","4","2","0","37","0","1","0","0","50","8.25","9.25","18.5","12.5","2","1","1","50","50","100","1","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.7","0.09","5.85"
"Luke Willson","BLT","1","TE","1","1","0","12","0","0","0","0","100","10","12","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","0.08","2.2"
"Levine Toilolo","NYG","5","TE","2","2","0","24","0","0","0","0","100","5","12","12","7","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4","0.05","2.2"
"Travis Kelce","KC","4","TE","44","31","0","438","2","4","0","1","70.5","10.09","9.95","14.13","5.84","8","5","4","18.2","16.1","100","4","2","9.1","6.5","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","104.8","0.42","3.38"
"Tyler Eifert","JAX","5","TE","18","14","0","145","0","0","0","0","77.8","7.39","8.06","10.36","3","4","2","0","22.2","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.5","0.14","2.04"
"Lee Smith","BUF","5","TE","4","2","0","31","0","1","0","0","50","7.5","7.75","15.5","9.5","2","1","1","50","50","100","2","1","50","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1","0.08","5.55"
"Luke Stocker","ATL","5","TE","5","4","0","43","0","0","0","0","80","2","8.6","10.75","9.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3","0.05","2.08"
"Kyle Rudolph","MIN","1","TE","2","0","0","0","0","0","0","0","0","10","0","0","0","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jimmy Graham","CHI","5","TE","15","12","0","122","0","3","0","0","80","8.6","8.13","10.17","4.92","6","5","3","40","41.7","100","3","3","20","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.2","0.26","3.52"
"Rob Gronkowski","TB","4","TE","14","8","0","118","0","3","0","0","57.1","12.5","8.43","14.75","5.5","7","3","3","50","37.5","100","3","1","21.4","12.5","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.8","0.21","4.72"
"Greg Olsen","SEA","1","TE","2","1","0","15","0","0","0","0","50","8.5","7.5","15","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.21","2.5"
"Marcedes Lewis","GB","5","TE","3","3","0","51","0","0","0","0","100","6.67","17","17","10.33","1","1","0","33.3","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","0.05","2.7"
"Jason Witten","LV","5","TE","5","2","0","12","0","0","0","0","40","6.2","2.4","6","6","3","1","0","60","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2","0.03","1.6"
