season,week,receiver_player_id,receiver,receiver_player_name,targets,avg_air_yards,avg_cpoe,avg_xyac_epa,target_quality_score,td_rate
2024,20,00-0039065,S.LaPorta,S.LaPorta,7,4.142857,12.580727,0.54946536,0.26659605,0.14285715
2024,20,00-0034928,S.Sims,S.Sims,1,-3.0,11.980027,1.1303521,0.24363118,0.0
2024,20,00-0033923,K.Hunt,K.Hunt,1,-4.0,13.108563,1.4060054,0.23072144,0.0
2024,20,00-0036554,N.Collins,N.Collins,8,12.375,2.4346623,0.37600997,0.19888891,0.0
2024,20,00-0035659,T.McLaurin,T.McLaurin,6,0.6666667,-12.902042,0.89159316,-0.07103114,0.16666667
2024,20,00-0033555,M.Hollins,M.Hollins,2,17.0,-6.4217997,0.65934527,-0.07233098,0.0
2024,20,00-0033110,T.Higbee,T.Higbee,10,2.7,-2.754109,0.7097923,-0.081207275,0.1
2024,20,00-0034753,M.Andrews,M.Andrews,8,8.428572,4.636963,0.3641303,-0.08311262,0.0
2024,20,00-0036628,J.Bates,J.Bates,2,8.5,-10.23616,0.5527564,-0.08928432,0.0
2024,20,00-0032775,D.Robinson,D.Robinson,7,17.0,-14.2397,0.456977,-0.19432494,0.0
2024,20,00-0035689,D.Knox,D.Knox,2,14.5,-4.0312405,1.3636479,-0.26539698,0.0
2024,20,00-0033897,J.Mixon,J.Mixon,3,-0.6666667,-12.204211,0.901104,-0.38450348,0.0
2024,20,00-0039075,P.Nacua,P.Nacua,14,12.214286,-20.300673,0.7793707,-0.53211886,0.0
2024,20,00-0038933,D.Kincaid,D.Kincaid,2,10.5,-19.050327,0.30116808,-0.6468436,0.0
2024,20,00-0037240,J.Williams,Ja.Williams,4,27.75,-21.23252,0.49232316,-0.6749968,0.0
2024,20,00-0039139,J.Gibbs,J.Gibbs,11,4.7272725,-21.596642,0.722012,-0.7033665,0.0
2024,20,00-0035662,M.Brown,M.Brown,2,29.5,-29.687628,1.2664558,-0.74351925,0.0
2024,20,00-0035676,A.Brown,A.Brown,7,14.0,-27.39278,0.38364005,-0.78950566,0.0
2024,20,00-0037840,K.Williams,K.Williams,2,-5.0,-31.038517,1.3084793,-1.0928441,0.0
2024,20,00-0033526,S.Perine,S.Perine,1,0.0,-39.187466,0.52395517,-1.4203707,0.0
2024,20,00-0035208,O.Zaccheaus,O.Zaccheaus,2,15.5,-43.156433,0.8136578,-1.4884496,0.0
2024,20,00-0038728,J.Wayne,J.Wayne,2,20.0,-48.748062,0.3831017,-1.4891095,0.0
2024,20,00-0033375,T.Patrick,T.Patrick,4,13.75,-33.76957,0.62805104,-1.5264724,0.0
2024,20,00-0032764,D.Henry,D.Henry,2,8.0,-54.138252,0.8031226,-1.6584917,0.0
2024,20,00-0037258,D.Pierce,D.Pierce,1,-5.0,-59.131958,2.0356007,-1.9588723,0.0
2024,20,00-0033857,J.Smith-Schuster,J.Smith-Schuster,1,7.0,-64.73658,1.2474947,-2.1201193,0.0
2024,20,00-0031544,A.Cooper,A.Cooper,1,7.0,-70.76136,0.4577529,-2.233746,0.0
